Country,Latitude,Longitude,Battle,Year,Winner,Loser,War_homogenized,Participants_homogenized
Ethiopia,14.1636465,38.8937176,Adowa,1896,Ethiopia,Italy,2nd Italo-Ethiopian War,"['Italy', ' Italy', 'Ethiopia', 'India', ' Turkey']"
Ethiopia,14.1636465,38.8937176,Adowa,1935,Italy,Ethiopia,2nd Italo-Ethiopian War,"['Italy', 'Ethiopia', 'India']"
Turkey,41.6771297,26.5557145,Adrianople,1829,Russia,Ottoman Empire,Russo-Turkish War,"['Russia', 'Greece', 'Bulgaria', ' Turkey']"
Turkey,41.6771297,26.5557145,Adrianople (2nd),1913,Ottoman Empire,Bulgaria,2nd Balkan Inter-Allied War,"['Palau', 'Bulgaria', ' France', ' Turkey']"
Turkey,41.6771297,26.5557145,Adrianople,1912,"Bulgaria, Serbia",Ottoman Empire,Balkan War,"['Bulgaria', 'Iran', ' Turkey', 'Serbia']"
Eritrea,16.1938578,38.689675,Afabet,1988,Eritrea,Ethiopia,Eritrean War,"['Iran', 'Ethiopia', 'Eritrea', 'Saudi Arabia']"
Turkey,38.7568852,30.5387038,Afyon,1922,Turkey,Greece,Greco-Turkish War,"['Turkey', 'Mongolia', 'Greece', ' Turkey']"
Egypt,31.6073309,25.8901949,Agagia,1916,United Kingdom,Senussi Rebels,World War I,"['Turkey', 'Eritrea', ' Honduras', 'Germany']"
Azerbaijan,40.6335427,47.467431,Aghdash Awkh,1831,Dagestan,Russia,Russian Conquest of the Caucasus,"['Russia', 'Turkmenistan', 'Japan', 'Iran']"
Eritrea,15.5406754,37.8777561,Agordat,1893,Italy,Sudan,Italo-Sudanese Wars,"['Italy', ' Turkey', 'Sudan', 'Russia', ' Italy', 'Jordan', 'Denmark']"
Eritrea,15.5406754,37.8777561,Agordat,1941,United Kingdom,Italy,World War II,"['South Africa', 'Eritrea', ' Egypt', 'Sudan', 'Russia', 'Benin', ' Italy', 'Jordan']"
India,27.1766701,78.0080745,Agra,1803,United Kingdom,Marathas,2nd Anglo-Maratha War,['Eritrea']
India,27.1766701,78.0080745,Agra,1857,United Kingdom,Indian Rebels,Indian Mutiny,"['India', 'Czechia', 'Thailand', 'Iran']"
United States,36.1181097,-95.9068411,Agua Dulce Creek,1836,Mexico,Texan Rebels,Texan War of Independence,"['Iran', 'Myanmar', 'Mexico']"
Mexico,31.3115272,-109.5855873,Agua Prieta,1915,Constitutionalists,Conventionists,Mexican Revolution,"['Mexico', 'United States', 'Ghana', 'Nigeria', 'Georgia', 'Eritrea', 'China', 'Iran']"
Mexico,21.8852562,-102.2915677,Aguascalientes,1915,Mexican Government,Pancho Villa Rebels,Mexican Revolution,"['Mexico', 'Dominica', 'Australia', 'Lebanon']"
Afghanistan,33.8333322,69.6412452,Ahmad Khel,1880,United Kingdom,Afghanistan,Afghan War,"['Eritrea', 'Myanmar', 'Afghanistan', 'Brazil', 'Ghana']"
India,19.0952075,74.7495916,Ahmadnagar,1803,United Kingdom,Marathas,2nd Anglo-Maratha War,"['Ghana', 'Germany', ' France']"
Pakistan,32.5125063,70.0134471,Ahnai Tangi,1920,United Kingdom,Mahsud Tribesmen,Waziristan Campaign,"['Malaysia', 'Chad', 'Pakistan', ' India']"
Mexico,22.3997407,-101.1665993,Ahualalco,1858,Mexican Conservatives,Mexican Liberals,Mexican War,"['Mexico', 'Saudi Arabia']"
Iran,31.3183272,48.6706187,Ahwaz,1915,United Kingdom,Turkey,World War I,"['Eritrea', 'Ghana', 'Chad', 'Bhutan', ' Turkey']"
Iran,31.3183272,48.6706187,Ahwaz,1980,Iran,Iraq,Iran-Iraq War,"['Iraq', 'Ghana', 'Chad', 'Bhutan']"
China,49.2733031,126.643383,Aigun,1900,Russia,China,Russo-Chinese War,"['China', 'Greece', 'Hong Kong', 'Russia', ' China ']"
Libya,32.8166842,13.2579122,Ain Zara,1911,Italy,Turkey,Italo-Turkish War,"['Italy', 'Kiribati', ' Italy', ' Turkey']"
France,43.6933099,-0.326149,Aire,1814,United Kingdom,France,Napoleonic War,['Eritrea']
France,49.4765586,3.3547166,Aisne,1914,United Kingdom,Germany,World War I,"['Germany', ' France', 'Eritrea']"
